,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
360,Chris Boucher,71,25,Toronto Raptors,F-C,1993-01-11,2.06,90.7,1588231,Canada,2017,Undrafted,Undrafted,Oregon
361,Jevon Carter,71,4,Phoenix Suns,G,1995-09-14,1.85,90.7,1416852,USA,2018,2,32,West Virginia
363,Jacob Evans,71,0,Minnesota Timberwolves,G,1997-06-18,1.93,95.3,1925880,USA,2018,1,28,Cincinnati
365,Daniel Gafford,71,12,Chicago Bulls,F,1998-10-01,2.08,106.1,898310,USA,2019,2,38,Arkansas
366,Treveon Graham,71,12,Atlanta Hawks,G,1993-10-28,1.96,99.3,1645357,USA,2015,Undrafted,Undrafted,VCU
367,Frank Jackson,71,15,New Orleans Pelicans,G,1998-05-04,1.91,93.0,1618520,USA,2017,2,31,Duke
368,Luke Kornet,71,2,Chicago Bulls,C,1995-07-15,2.18,108.9,2250000,USA,2017,Undrafted,Undrafted,Vanderbilt
369,Frank Mason,71,15,Milwaukee Bucks,G,1994-04-13,1.8,86.2,79568,USA,2017,2,34,Kansas
370,Ben McLemore,71,16,Houston Rockets,G,1993-02-11,1.91,85.7,2028594,USA,2013,1,7,Kansas
373,Jerome Robinson,71,1,Washington Wizards,G,1997-02-22,1.93,86.2,3567720,USA,2018,1,13,Boston College
374,JaKarr Sampson,71,14,Indiana Pacers,F,1993-03-20,2.01,101.2,1737145,USA,2014,Undrafted,Undrafted,St. John's
375,Edmond Sumner,71,5,Indiana Pacers,G,1995-12-13,1.93,84.4,2000000,USA,2017,2,52,Xavier
376,Gary Trent Jr,71,2,Portland Trail Blazers,G,1999-01-18,1.96,94.8,1416852,USA,2018,2,37,Duke
377,Moritz Wagner,71,21,Washington Wizards,F,1997-04-26,2.11,108.9,2063520,Germany,2018,1,25,Michigan
378,Admiral Schofield,71,1,Washington Wizards,F,1997-03-30,1.96,109.3,1000000,USA,2019,2,42,Tennessee
379,Bruno Fernando,71,24,Atlanta Hawks,F,1998-08-15,2.06,111.1,1400000,Angola,2019,2,34,Maryland
381,Eric Paschall,71,7,Golden State Warriors,F,1996-11-04,1.98,115.7,898310,USA,2019,2,41,Villanova
382,Carsen Edwards,71,4,Boston Celtics,G,1998-03-12,1.8,90.7,1228026,USA,2019,2,33,Purdue
383,KZ Okpala,71,4,Miami Heat,F,1999-04-28,2.03,97.5,898310,USA,2019,2,32,Stanford
384,Shake Milton,71,18,Philadelphia 76ers,C,1996-09-26,1.96,93.0,1445697,USA,2018,2,54,SMU
385,Chimezie Metu,71,7,San Antonio Spurs,F,1997-03-22,2.06,102.1,1416852,Nigeria,2018,2,49,USC
386,Keita Bates-Diop,70,0,Denver Nuggets,F,1996-01-23,2.03,106.6,1416852,USA,2018,2,48,Ohio State
